algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall
SVMR,tc,200,"(1, 2)",clean_steeming_lemmatization,0.81,0.62
SVML,tc,200,"(1, 2)",clean_steeming_lemmatization,0.93,0.88
LR1,tc,200,"(1, 2)",clean_steeming_lemmatization,0.9,0.81
LR2,tc,200,"(1, 2)",clean_steeming_lemmatization,0.92,0.86
RF,tc,200,"(1, 2)",clean_steeming_lemmatization,0.95,0.92
XGB,tc,200,"(1, 2)",clean_steeming_lemmatization,0.9,0.82
NB,tc,200,"(1, 3)",clean,0.86,0.93
SVMR,tc,200,"(1, 3)",clean,0.73,0.47
SVML,tc,200,"(1, 3)",clean,0.93,0.87
LR1,tc,200,"(1, 3)",clean,0.9,0.81
LR2,tc,200,"(1, 3)",clean,0.92,0.84
RF,tc,200,"(1, 3)",clean,0.94,0.91
XGB,tc,200,"(1, 3)",clean,0.89,0.79
NB,tc,200,"(1, 3)",clean_steeming,0.85,0.93
SVMR,tc,200,"(1, 3)",clean_steeming,0.81,0.63
SVML,tc,200,"(1, 3)",clean_steeming,0.93,0.87
LR1,tc,200,"(1, 3)",clean_steeming,0.9,0.81
LR2,tc,200,"(1, 3)",clean_steeming,0.92,0.85
RF,tc,200,"(1, 3)",clean_steeming,0.94,0.91
XGB,tc,200,"(1, 3)",clean_steeming,0.9,0.82
NB,tc,200,"(1, 3)",clean_lemmatization,0.87,0.93
SVMR,tc,200,"(1, 3)",clean_lemmatization,0.78,0.56
SVML,tc,200,"(1, 3)",clean_lemmatization,0.94,0.9
LR1,tc,200,"(1, 3)",clean_lemmatization,0.9,0.82
LR2,tc,200,"(1, 3)",clean_lemmatization,0.91,0.83
RF,tc,200,"(1, 3)",clean_lemmatization,0.96,0.93
XGB,tc,200,"(1, 3)",clean_lemmatization,0.9,0.82
NB,tc,200,"(1, 3)",clean_steeming_lemmatization,0.85,0.93
SVMR,tc,200,"(1, 3)",clean_steeming_lemmatization,0.81,0.62
SVML,tc,200,"(1, 3)",clean_steeming_lemmatization,0.93,0.88
LR1,tc,200,"(1, 3)",clean_steeming_lemmatization,0.9,0.81
LR2,tc,200,"(1, 3)",clean_steeming_lemmatization,0.92,0.86
RF,tc,200,"(1, 3)",clean_steeming_lemmatization,0.94,0.91
XGB,tc,200,"(1, 3)",clean_steeming_lemmatization,0.9,0.82
NB,tc,400,"(1, 1)",clean,0.91,0.94
SVMR,tc,400,"(1, 1)",clean,0.6,0.21
SVML,tc,400,"(1, 1)",clean,0.94,0.9
LR1,tc,400,"(1, 1)",clean,0.89,0.8
LR2,tc,400,"(1, 1)",clean,0.91,0.84
RF,tc,400,"(1, 1)",clean,0.95,0.92
XGB,tc,400,"(1, 1)",clean,0.89,0.79
NB,tc,400,"(1, 1)",clean_steeming,0.91,0.92
SVMR,tc,400,"(1, 1)",clean_steeming,0.67,0.33
SVML,tc,400,"(1, 1)",clean_steeming,0.95,0.92
LR1,tc,400,"(1, 1)",clean_steeming,0.91,0.83
LR2,tc,400,"(1, 1)",clean_steeming,0.93,0.86
RF,tc,400,"(1, 1)",clean_steeming,0.95,0.91
XGB,tc,400,"(1, 1)",clean_steeming,0.9,0.82
NB,tc,400,"(1, 1)",clean_lemmatization,0.92,0.92
SVMR,tc,400,"(1, 1)",clean_lemmatization,0.64,0.27
SVML,tc,400,"(1, 1)",clean_lemmatization,0.93,0.87
LR1,tc,400,"(1, 1)",clean_lemmatization,0.89,0.8
LR2,tc,400,"(1, 1)",clean_lemmatization,0.91,0.83
RF,tc,400,"(1, 1)",clean_lemmatization,0.95,0.92
XGB,tc,400,"(1, 1)",clean_lemmatization,0.9,0.82
NB,tc,400,"(1, 1)",clean_steeming_lemmatization,0.91,0.92
SVMR,tc,400,"(1, 1)",clean_steeming_lemmatization,0.67,0.35
SVML,tc,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.92
LR1,tc,400,"(1, 1)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,400,"(1, 1)",clean_steeming_lemmatization,0.93,0.86
RF,tc,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,400,"(1, 1)",clean_steeming_lemmatization,0.9,0.82
NB,tc,400,"(1, 2)",clean,0.91,0.93
SVMR,tc,400,"(1, 2)",clean,0.61,0.21
SVML,tc,400,"(1, 2)",clean,0.93,0.88
LR1,tc,400,"(1, 2)",clean,0.89,0.8
LR2,tc,400,"(1, 2)",clean,0.92,0.85
RF,tc,400,"(1, 2)",clean,0.95,0.91
XGB,tc,400,"(1, 2)",clean,0.89,0.79
NB,tc,400,"(1, 2)",clean_steeming,0.92,0.93
SVMR,tc,400,"(1, 2)",clean_steeming,0.67,0.34
SVML,tc,400,"(1, 2)",clean_steeming,0.96,0.93
LR1,tc,400,"(1, 2)",clean_steeming,0.91,0.83
LR2,tc,400,"(1, 2)",clean_steeming,0.93,0.86
RF,tc,400,"(1, 2)",clean_steeming,0.94,0.9
XGB,tc,400,"(1, 2)",clean_steeming,0.9,0.82
NB,tc,400,"(1, 2)",clean_lemmatization,0.91,0.93
SVMR,tc,400,"(1, 2)",clean_lemmatization,0.64,0.28
SVML,tc,400,"(1, 2)",clean_lemmatization,0.93,0.88
LR1,tc,400,"(1, 2)",clean_lemmatization,0.9,0.8
LR2,tc,400,"(1, 2)",clean_lemmatization,0.92,0.85
RF,tc,400,"(1, 2)",clean_lemmatization,0.95,0.92
XGB,tc,400,"(1, 2)",clean_lemmatization,0.9,0.82
NB,tc,400,"(1, 2)",clean_steeming_lemmatization,0.92,0.93
SVMR,tc,400,"(1, 2)",clean_steeming_lemmatization,0.68,0.35
SVML,tc,400,"(1, 2)",clean_steeming_lemmatization,0.94,0.9
LR1,tc,400,"(1, 2)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,400,"(1, 2)",clean_steeming_lemmatization,0.93,0.86
RF,tc,400,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,400,"(1, 2)",clean_steeming_lemmatization,0.9,0.82
NB,tc,400,"(1, 3)",clean,0.91,0.93
SVMR,tc,400,"(1, 3)",clean,0.61,0.21
SVML,tc,400,"(1, 3)",clean,0.93,0.87
LR1,tc,400,"(1, 3)",clean,0.89,0.8
LR2,tc,400,"(1, 3)",clean,0.92,0.85
RF,tc,400,"(1, 3)",clean,0.95,0.91
XGB,tc,400,"(1, 3)",clean,0.89,0.79
NB,tc,400,"(1, 3)",clean_steeming,0.91,0.93
SVMR,tc,400,"(1, 3)",clean_steeming,0.67,0.34
SVML,tc,400,"(1, 3)",clean_steeming,0.95,0.91
LR1,tc,400,"(1, 3)",clean_steeming,0.91,0.83
LR2,tc,400,"(1, 3)",clean_steeming,0.93,0.86
RF,tc,400,"(1, 3)",clean_steeming,0.95,0.91
XGB,tc,400,"(1, 3)",clean_steeming,0.9,0.82
NB,tc,400,"(1, 3)",clean_lemmatization,0.92,0.93
SVMR,tc,400,"(1, 3)",clean_lemmatization,0.64,0.29
SVML,tc,400,"(1, 3)",clean_lemmatization,0.93,0.87
LR1,tc,400,"(1, 3)",clean_lemmatization,0.89,0.8
LR2,tc,400,"(1, 3)",clean_lemmatization,0.92,0.84
RF,tc,400,"(1, 3)",clean_lemmatization,0.95,0.92
XGB,tc,400,"(1, 3)",clean_lemmatization,0.9,0.82
NB,tc,400,"(1, 3)",clean_steeming_lemmatization,0.91,0.93
SVMR,tc,400,"(1, 3)",clean_steeming_lemmatization,0.68,0.35
SVML,tc,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.92
LR1,tc,400,"(1, 3)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,400,"(1, 3)",clean_steeming_lemmatization,0.93,0.86
RF,tc,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,400,"(1, 3)",clean_steeming_lemmatization,0.9,0.82
NB,tc,500,"(1, 1)",clean,0.94,0.97
SVMR,tc,500,"(1, 1)",clean,0.57,0.15
SVML,tc,500,"(1, 1)",clean,0.93,0.88
LR1,tc,500,"(1, 1)",clean,0.88,0.77
LR2,tc,500,"(1, 1)",clean,0.91,0.84
RF,tc,500,"(1, 1)",clean,0.95,0.91
XGB,tc,500,"(1, 1)",clean,0.89,0.79
NB,tc,500,"(1, 1)",clean_steeming,0.93,0.93
SVMR,tc,500,"(1, 1)",clean_steeming,0.61,0.22
SVML,tc,500,"(1, 1)",clean_steeming,0.96,0.93
LR1,tc,500,"(1, 1)",clean_steeming,0.91,0.83
LR2,tc,500,"(1, 1)",clean_steeming,0.94,0.88
RF,tc,500,"(1, 1)",clean_steeming,0.95,0.91
XGB,tc,500,"(1, 1)",clean_steeming,0.9,0.82
NB,tc,500,"(1, 1)",clean_lemmatization,0.93,0.93
SVMR,tc,500,"(1, 1)",clean_lemmatization,0.61,0.21
SVML,tc,500,"(1, 1)",clean_lemmatization,0.94,0.89
LR1,tc,500,"(1, 1)",clean_lemmatization,0.89,0.79
LR2,tc,500,"(1, 1)",clean_lemmatization,0.92,0.85
RF,tc,500,"(1, 1)",clean_lemmatization,0.96,0.93
XGB,tc,500,"(1, 1)",clean_lemmatization,0.9,0.82
NB,tc,500,"(1, 1)",clean_steeming_lemmatization,0.92,0.92
SVMR,tc,500,"(1, 1)",clean_steeming_lemmatization,0.61,0.23
SVML,tc,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
LR1,tc,500,"(1, 1)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,500,"(1, 1)",clean_steeming_lemmatization,0.93,0.87
RF,tc,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,500,"(1, 1)",clean_steeming_lemmatization,0.9,0.82
NB,tc,500,"(1, 2)",clean,0.94,0.97
SVMR,tc,500,"(1, 2)",clean,0.58,0.15
SVML,tc,500,"(1, 2)",clean,0.93,0.88
LR1,tc,500,"(1, 2)",clean,0.88,0.77
LR2,tc,500,"(1, 2)",clean,0.92,0.84
RF,tc,500,"(1, 2)",clean,0.95,0.91
XGB,tc,500,"(1, 2)",clean,0.89,0.79
NB,tc,500,"(1, 2)",clean_steeming,0.93,0.93
SVMR,tc,500,"(1, 2)",clean_steeming,0.62,0.24
SVML,tc,500,"(1, 2)",clean_steeming,0.96,0.93
LR1,tc,500,"(1, 2)",clean_steeming,0.91,0.83
LR2,tc,500,"(1, 2)",clean_steeming,0.93,0.88
RF,tc,500,"(1, 2)",clean_steeming,0.95,0.91
XGB,tc,500,"(1, 2)",clean_steeming,0.9,0.82
NB,tc,500,"(1, 2)",clean_lemmatization,0.92,0.92
SVMR,tc,500,"(1, 2)",clean_lemmatization,0.61,0.22
SVML,tc,500,"(1, 2)",clean_lemmatization,0.94,0.89
LR1,tc,500,"(1, 2)",clean_lemmatization,0.89,0.79
LR2,tc,500,"(1, 2)",clean_lemmatization,0.92,0.85
RF,tc,500,"(1, 2)",clean_lemmatization,0.95,0.92
XGB,tc,500,"(1, 2)",clean_lemmatization,0.9,0.82
NB,tc,500,"(1, 2)",clean_steeming_lemmatization,0.93,0.93
SVMR,tc,500,"(1, 2)",clean_steeming_lemmatization,0.62,0.23
SVML,tc,500,"(1, 2)",clean_steeming_lemmatization,0.96,0.93
LR1,tc,500,"(1, 2)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,500,"(1, 2)",clean_steeming_lemmatization,0.93,0.86
RF,tc,500,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,500,"(1, 2)",clean_steeming_lemmatization,0.9,0.82
NB,tc,500,"(1, 3)",clean,0.94,0.97
SVMR,tc,500,"(1, 3)",clean,0.58,0.15
SVML,tc,500,"(1, 3)",clean,0.93,0.88
LR1,tc,500,"(1, 3)",clean,0.88,0.77
LR2,tc,500,"(1, 3)",clean,0.92,0.84
RF,tc,500,"(1, 3)",clean,0.95,0.91
XGB,tc,500,"(1, 3)",clean,0.89,0.79
NB,tc,500,"(1, 3)",clean_steeming,0.93,0.93
SVMR,tc,500,"(1, 3)",clean_steeming,0.62,0.24
SVML,tc,500,"(1, 3)",clean_steeming,0.95,0.91
LR1,tc,500,"(1, 3)",clean_steeming,0.91,0.83
LR2,tc,500,"(1, 3)",clean_steeming,0.93,0.87
RF,tc,500,"(1, 3)",clean_steeming,0.95,0.91
XGB,tc,500,"(1, 3)",clean_steeming,0.9,0.82
NB,tc,500,"(1, 3)",clean_lemmatization,0.93,0.93
SVMR,tc,500,"(1, 3)",clean_lemmatization,0.61,0.23
SVML,tc,500,"(1, 3)",clean_lemmatization,0.93,0.88
LR1,tc,500,"(1, 3)",clean_lemmatization,0.89,0.79
LR2,tc,500,"(1, 3)",clean_lemmatization,0.91,0.83
RF,tc,500,"(1, 3)",clean_lemmatization,0.95,0.92
XGB,tc,500,"(1, 3)",clean_lemmatization,0.9,0.82
NB,tc,500,"(1, 3)",clean_steeming_lemmatization,0.93,0.93
SVMR,tc,500,"(1, 3)",clean_steeming_lemmatization,0.62,0.23
SVML,tc,500,"(1, 3)",clean_steeming_lemmatization,0.96,0.93
LR1,tc,500,"(1, 3)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,500,"(1, 3)",clean_steeming_lemmatization,0.93,0.87
RF,tc,500,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,500,"(1, 3)",clean_steeming_lemmatization,0.9,0.82
NB,tc,800,"(1, 1)",clean,0.94,0.94
SVMR,tc,800,"(1, 1)",clean,0.52,0.04
SVML,tc,800,"(1, 1)",clean,0.93,0.88
LR1,tc,800,"(1, 1)",clean,0.87,0.76
LR2,tc,800,"(1, 1)",clean,0.92,0.84
RF,tc,800,"(1, 1)",clean,0.95,0.91
XGB,tc,800,"(1, 1)",clean,0.89,0.79
NB,tc,800,"(1, 1)",clean_steeming,0.92,0.88
SVMR,tc,800,"(1, 1)",clean_steeming,0.55,0.09
SVML,tc,800,"(1, 1)",clean_steeming,0.94,0.9
LR1,tc,800,"(1, 1)",clean_steeming,0.91,0.83
LR2,tc,800,"(1, 1)",clean_steeming,0.93,0.86
RF,tc,800,"(1, 1)",clean_steeming,0.95,0.91
XGB,tc,800,"(1, 1)",clean_steeming,0.9,0.82
NB,tc,800,"(1, 1)",clean_lemmatization,0.94,0.93
SVMR,tc,800,"(1, 1)",clean_lemmatization,0.53,0.07
SVML,tc,800,"(1, 1)",clean_lemmatization,0.93,0.88
LR1,tc,800,"(1, 1)",clean_lemmatization,0.88,0.78
LR2,tc,800,"(1, 1)",clean_lemmatization,0.91,0.83
RF,tc,800,"(1, 1)",clean_lemmatization,0.95,0.92
XGB,tc,800,"(1, 1)",clean_lemmatization,0.9,0.82
NB,tc,800,"(1, 1)",clean_steeming_lemmatization,0.92,0.89
SVMR,tc,800,"(1, 1)",clean_steeming_lemmatization,0.55,0.1
SVML,tc,800,"(1, 1)",clean_steeming_lemmatization,0.94,0.9
LR1,tc,800,"(1, 1)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,800,"(1, 1)",clean_steeming_lemmatization,0.93,0.86
RF,tc,800,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,800,"(1, 1)",clean_steeming_lemmatization,0.9,0.82
NB,tc,800,"(1, 2)",clean,0.94,0.95
SVMR,tc,800,"(1, 2)",clean,0.52,0.04
SVML,tc,800,"(1, 2)",clean,0.94,0.88
LR1,tc,800,"(1, 2)",clean,0.87,0.76
LR2,tc,800,"(1, 2)",clean,0.91,0.82
RF,tc,800,"(1, 2)",clean,0.95,0.91
XGB,tc,800,"(1, 2)",clean,0.89,0.79
NB,tc,800,"(1, 2)",clean_steeming,0.94,0.92
SVMR,tc,800,"(1, 2)",clean_steeming,0.55,0.09
SVML,tc,800,"(1, 2)",clean_steeming,0.94,0.9
LR1,tc,800,"(1, 2)",clean_steeming,0.91,0.83
LR2,tc,800,"(1, 2)",clean_steeming,0.93,0.86
RF,tc,800,"(1, 2)",clean_steeming,0.95,0.91
XGB,tc,800,"(1, 2)",clean_steeming,0.9,0.82
NB,tc,800,"(1, 2)",clean_lemmatization,0.94,0.93
SVMR,tc,800,"(1, 2)",clean_lemmatization,0.54,0.07
SVML,tc,800,"(1, 2)",clean_lemmatization,0.93,0.88
LR1,tc,800,"(1, 2)",clean_lemmatization,0.88,0.78
LR2,tc,800,"(1, 2)",clean_lemmatization,0.91,0.83
RF,tc,800,"(1, 2)",clean_lemmatization,0.95,0.92
XGB,tc,800,"(1, 2)",clean_lemmatization,0.9,0.82
NB,tc,800,"(1, 2)",clean_steeming_lemmatization,0.94,0.92
SVMR,tc,800,"(1, 2)",clean_steeming_lemmatization,0.55,0.1
SVML,tc,800,"(1, 2)",clean_steeming_lemmatization,0.94,0.9
LR1,tc,800,"(1, 2)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,800,"(1, 2)",clean_steeming_lemmatization,0.92,0.86
RF,tc,800,"(1, 2)",clean_steeming_lemmatization,0.94,0.9
XGB,tc,800,"(1, 2)",clean_steeming_lemmatization,0.9,0.82
NB,tc,800,"(1, 3)",clean,0.94,0.95
SVMR,tc,800,"(1, 3)",clean,0.52,0.04
SVML,tc,800,"(1, 3)",clean,0.93,0.88
LR1,tc,800,"(1, 3)",clean,0.88,0.77
LR2,tc,800,"(1, 3)",clean,0.91,0.83
RF,tc,800,"(1, 3)",clean,0.94,0.9
XGB,tc,800,"(1, 3)",clean,0.89,0.79
NB,tc,800,"(1, 3)",clean_steeming,0.93,0.91
SVMR,tc,800,"(1, 3)",clean_steeming,0.55,0.09
SVML,tc,800,"(1, 3)",clean_steeming,0.95,0.91
LR1,tc,800,"(1, 3)",clean_steeming,0.91,0.83
LR2,tc,800,"(1, 3)",clean_steeming,0.93,0.86
RF,tc,800,"(1, 3)",clean_steeming,0.94,0.9
XGB,tc,800,"(1, 3)",clean_steeming,0.9,0.82
NB,tc,800,"(1, 3)",clean_lemmatization,0.93,0.93
SVMR,tc,800,"(1, 3)",clean_lemmatization,0.54,0.08
SVML,tc,800,"(1, 3)",clean_lemmatization,0.93,0.87
LR1,tc,800,"(1, 3)",clean_lemmatization,0.89,0.79
LR2,tc,800,"(1, 3)",clean_lemmatization,0.92,0.85
RF,tc,800,"(1, 3)",clean_lemmatization,0.95,0.91
XGB,tc,800,"(1, 3)",clean_lemmatization,0.9,0.82
NB,tc,800,"(1, 3)",clean_steeming_lemmatization,0.93,0.9
SVMR,tc,800,"(1, 3)",clean_steeming_lemmatization,0.55,0.1
SVML,tc,800,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
LR1,tc,800,"(1, 3)",clean_steeming_lemmatization,0.91,0.83
LR2,tc,800,"(1, 3)",clean_steeming_lemmatization,0.93,0.86
RF,tc,800,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,800,"(1, 3)",clean_steeming_lemmatization,0.9,0.82
NB,tf,100,"(1, 1)",clean,0.83,0.96
SVMR,tf,100,"(1, 1)",clean,0.5,0.0
SVML,tf,100,"(1, 1)",clean,0.94,0.89
LR1,tf,100,"(1, 1)",clean,0.88,0.78
